id,text,primary_emotion,secondary_emotion,teccr_context
737,உள்ளம் இன்று லேசாக இருந்தது,Joy,None,Light affect
738,நல்ல நினைவுகள் மனதை நிரப்பின,Joy,None,Positive recollection
739,எதிர்பாராத சிரிப்பு நாளை மாற்றியது,Joy,None,Surprise happiness
740,இப்படி நாள்கள் தொடர ஆசை,Joy,Hope,Continuity wish
741,சுற்றிய சூழல் எரிச்சலை தூண்டியது,Anger,Frustration,Contextual irritation
742,சொன்னது தவறாக புரிந்துகொள்ளப்பட்டது,Anger,Frustration,Misinterpretation anger
743,நியாயம் புறக்கணிக்கப்பட்டதாக உணர்வு,Anger,None,Injustice perception
744,மீண்டும் மீண்டும் காத்திருக்க வேண்டியது,Anger,Frustration,Delay frustration
745,அலட்சியமான அணுகுமுறை கோபம்,Sadness,None,Disappointment blend
746,அமைதியை தவறாக எடுத்துக்கொண்டனர்,Anger,None,Assertiveness ignored
747,சில வாக்குறுதிகள் காற்றாகின,Anger,Frustration,Promise failure
748,முகத்தில் சிரிப்பு உள்ளுக்குள் கடுப்பு,Anger,Sarcasm,Surface politeness
749,பொறுமை சோதனைக்கு உள்ளானது,Anger,None,Patience trial
750,நியாயம் கேட்பது சிரமமானது,Anger,Frustration,Systemic resistance
751,சூழல் மாற்றமின்றி கோபம் நீடித்தது,Anger,None,Stagnant anger
752,சிலர் பொறுப்பை தவிர்ப்பது எரிச்சல்,Anger,Frustration,Responsibility avoidance
753,வார்த்தைகள் கடினமாக மாறின,Anger,None,Harsh communication
754,மதிப்பு குறைந்த அணுகுமுறை கோபம்,Sadness,None,Hurt pride
755,நாடகமாய் நடந்துகொள்வது சலிப்பு,Anger,Sarcasm,Performative fatigue
756,எல்லாம் என் மீது தள்ளப்பட்டது,Anger,Frustration,Unfair burden
757,அமைதி காத்தாலும் சோதனை தொடர்ந்தது,Anger,Frustration,Persistence strain
758,சில முடிவுகள் எரிச்சலை ஏற்படுத்தின,Anger,None,Decision anger
759,உள்ளுக்குள் கோபம் குவிகிறது,Anger,None,Anger accumulation
760,நியாயம் தொலைந்த உணர்வு,Sadness,None,Moral disappointment
761,எதிர்பாராத மாற்றம் அச்சத்தை ஏற்படுத்தியது,Fear,None,Sudden uncertainty
762,எண்ணங்கள் கட்டுப்பாட்டை இழந்தது,Fear,Frustration,Mental overwhelm
763,நிலையற்ற சூழல் நிம்மதி குலைத்தது,Fear,None,Security loss
764,தவறுகள் நடக்கும் என அச்சம்,Fear,None,Error anxiety
765,நம்பிக்கை இருந்தும் தயக்கம்,Fear,Hope,Ambivalent courage
766,எதிர்கால முடிவுகள் பயமூட்டின,Fear,None,Decision fear
767,உள்ளுக்குள் கலக்கம் நீடித்தது,Fear,Frustration,Chronic anxiety
768,பாதுகாப்பு குறித்த எண்ணங்கள் அதிகம்,Fear,None,Safety concern
769,நாளை பற்றி சிந்திக்க மனம் தயங்குகிறது,Fear,None,Future avoidance
770,எதிர்பாராத செய்தி அச்சம் தந்தது,Fear,None,Threat perception
771,சில பொறுப்புகள் பயத்தை தூண்டின,Fear,None,Responsibility fear
772,மாற்றம் வருமா என்ற சந்தேகம்,Fear,None,Change anxiety
773,உறுதி இல்லாத நிலை மனதை குழப்பியது,Fear,None,Ambiguity stress
774,எதையும் திட்டமிட முடியாத நிலை,Fear,None,Planning fear
775,உள்ளம் பாதுகாப்பு தேடுகிறது,Fear,Hope,Seeking safety
776,பயம் காரணமில்லாமல் எழுகிறது,Fear,None,Free anxiety
777,எதிர்காலம் தெளிவில்லாமல் தெரிகிறது,Fear,None,Blurred future
778,நம்பிக்கை தேடும் பயணம் தொடர்கிறது,Fear,Hope,Hopeful persistence
779,இந்த நிலை மாற வேண்டுமென விருப்பம்,Fear,Hope,Desire for change
780,அச்சம் அடங்காமல் உள்ளுக்குள்,Fear,Frustration,Unresolved fear
781,இன்று வழக்கமான நாளாகவே இருந்தது,Neutral,None,Ordinary day
782,வேலைகள் திட்டமிட்டபடி முடிந்தன,Neutral,None,Task completion
783,நேரம் மெதுவாக சென்றது,Neutral,None,Time flow
784,எதுவும் விசேஷமில்லை இன்று,Neutral,None,No event
785,சாதாரண சிந்தனைகளுடன் நாள்,Neutral,None,Neutral mindset
786,பேச்சு குறைவான அமைதி,Neutral,None,Quiet environment
787,வழக்கம்போல செயல்கள் தொடர்ந்தன,Neutral,None,Routine continuation
788,நாளை பற்றிய திட்டம் பின்னர்,Neutral,None,Deferred planning
789,சூழல் மாற்றமின்றி இருந்தது,Neutral,None,Stable context
790,சாதாரண உணர்வோடு வேலை,Neutral,None,Work neutrality
791,எதையும் பெரிதாக எண்ணவில்லை,Neutral,None,Low appraisal
792,நாளின் முடிவில் சமநிலை,Neutral,None,Balanced closure
793,வழக்கமான நேரத்தில் ஓய்வு,Neutral,None,Routine rest
794,பேச்சு கேள்விகள் இல்லை,Neutral,None,Low interaction
795,நாள் சீராக முடிந்தது,Neutral,None,Smooth ending
796,சாதாரண வேகம் தொடர்ந்தது,Neutral,None,Steady pace
797,எதுவும் சிரமமாக இல்லை,Neutral,None,No difficulty
798,நாளின் நிலை மாறவில்லை,Neutral,None,Status quo
799,இன்றைய அனுபவம் சாதாரணம்,Neutral,None,Neutral experience
800,வேலை முடிந்து அமைதி,Neutral,None,Post work calm
801,உள்ளம் மீண்டும் சோர்வை நினைத்தது,Sadness,Frustration,Relapse mood
802,நம்பிக்கை தளர்ந்ததாக தோன்றியது,Sadness,Despair,Hope dip
803,எண்ணங்கள் சிக்கி வெளியே வரவில்லை,Sadness,Frustration,Thought entrapment
804,சில வார்த்தைகள் ஆழமாக காயப்படுத்தின,Sadness,None,Emotional wound
805,நாட்கள் கனமாக நகர்கின்றன,Sadness,Despair,Heavy time
806,உள்ளுக்குள் வெறுமை நிரம்பியது,Sadness,None,Inner emptiness
807,பகிர முடியாத உணர்வு சுமை,Sadness,None,Unexpressed emotion
808,எதிர்பாராத மௌனம் துக்கம்,Sadness,Despair,Silent loss
809,நினைவுகள் மீண்டும் தொந்தரவு,Sadness,Frustration,Memory disturbance
810,இதயம் அமைதி தேடுகிறது,Sadness,Hope,Seeking peace
811,சுற்றியவர்கள் புரியாதது,Sadness,None,Social disconnect
812,நம்பிய இடத்தில் ஏமாற்றம்,Sadness,Despair,Broken trust
813,உள்ளம் சோர்ந்து சக்தி குறைந்தது,Sadness,Frustration,Energy drain
814,நாளின் முடிவில் வெறுமை,Sadness,None,Empty closure
815,வார்த்தைகள் உள்ளத்தை அடைத்தன,Sadness,None,Emotional blockage
816,எண்ணங்கள் இருளில் சிக்கின,Sadness,Despair,Dark rumination
817,சிரிப்பு தொலைந்தது,Sadness,None,Joy absence
818,நம்பிக்கை தேடும் பயணம் நீளம்,Sadness,Hope,Endurance
819,உள்ளுக்குள் கண்ணீர்,Sadness,Despair,Suppressed grief
820,இன்று மனநிலை சோர்வு,Sadness,None,Low affect
821,சிறு வெற்றி மகிழ்ச்சி,Sadness,None,Bittersweet win
822,நல்ல செய்தி ஒளி,Sadness,None,Mixed uplift
823,எண்ணங்கள் தெளிவடைந்தன,Sadness,None,Clarity relief
824,ஆதரவு சக்தி,Sadness,None,Support felt
825,இன்றைய அனுபவம் இனிமை,Joy,None,Pleasant moment
826,உள்ளம் அமைதி,Joy,None,Calm heart
827,பாராட்டு ஊக்கம்,Joy,None,Encouragement
828,எதிர்காலம் நம்பிக்கை,Joy,Hope,Optimism rise
829,சாதாரண தருணம் மகிழ்ச்சி,Joy,None,Everyday joy
830,திருப்தி,Sadness,None,Content sadness
831,தீர்மானம் நம்பிக்கை,Joy,Hope,Decision confidence
832,உள்ளுக்குள் சிரிப்பு,Joy,None,Inner smile
833,சுமை குறைவு,Joy,None,Relief
834,நல்ல பழக்கம்,Sadness,None,Reflective calm
835,உதவி மகிழ்ச்சி,Joy,None,Helping joy
836,மாற்றம்,Sadness,None,Ambivalence
837,லேசு,Joy,None,Light mood
838,நல்ல நினைவு,Joy,None,Positive recall
839,எதிர்பாராத சிரிப்பு,Joy,None,Surprise joy
840,ஆசை,Joy,Hope,Future wish
841,எரிச்சல்,Sadness,None,Low anger
842,தவறான புரிதல்,Anger,Frustration,Misunderstanding
843,நியாயமின்மை,Anger,None,Injustice
844,காத்திருப்பு,Anger,Frustration,Delay
845,அலட்சியம்,Sadness,None,Neglect
846,அமைதி தவறாக,Anger,None,Silence misread
847,வாக்குறுதி மறைவு,Anger,Frustration,Broken promise
848,முகமூடி,Sadness,None,Masked feeling
849,பொறுமை சோதனை,Anger,None,Patience test
850,நியாயம் கேள்வி,Anger,Frustration,Justice doubt
851,நிலைத்த கோபம்,Anger,None,Chronic anger
852,பொறுப்பு தவிர்ப்பு,Anger,Frustration,Avoidance
853,கூர்மை,Sadness,None,Sharp words
854,மதிப்பு குறைவு,Sadness,None,Hurt pride
855,நாடகம்,Anger,Sarcasm,Pretence
856,சுமை,Sadness,None,Overload
857,சோதனை,Anger,Frustration,Endurance strain
858,முடிவு,Sadness,None,Resignation
859,குவிப்பு,Anger,None,Anger build
860,நெறி ஏமாற்றம்,Sadness,None,Moral letdown
861,மாற்றம் அச்சம்,Fear,None,Change fear
862,அதிக சிந்தனை,Fear,Frustration,Overthinking
863,பாதுகாப்பு இழப்பு,Fear,None,Security loss
864,தவறு அச்சம்,Fear,None,Error fear
865,தயக்கம்,Fear,Hope,Uncertain courage
866,முடிவு பயம்,Fear,None,Decision anxiety
867,கலக்கம்,Fear,Frustration,Inner turmoil
868,பாதுகாப்பு எண்ணம்,Fear,None,Safety focus
869,நாளை தயக்கம்,Fear,None,Future avoidance
870,அச்ச செய்தி,Fear,None,Threat cue
871,பொறுப்பு பயம்,Fear,None,Responsibility fear
872,சந்தேகம்,Fear,None,Doubt
873,அம்பிக்யூட்டி,Fear,None,Ambiguity stress
874,திட்டமிடல் பயம்,Fear,None,Planning fear
875,பாதுகாப்பு தேடல்,Fear,Hope,Seeking safety
876,காரணமில்லா பயம்,Fear,None,Free fear
877,மங்கல எதிர்காலம்,Fear,None,Unclear future
878,நம்பிக்கை பயணம்,Fear,Hope,Hope pursuit
879,மாற்ற விருப்பு,Fear,Hope,Change wish
880,அச்சம் நீடிப்பு,Fear,Frustration,Persistent fear
881,சாதாரண நாள்,Neutral,None,Ordinary
882,வேலை முடிவு,Neutral,None,Task end
883,நேர ஓட்டம்,Neutral,None,Time flow
884,விசேஷம் இல்லை,Neutral,None,No event
885,சாதாரண சிந்தனை,Neutral,None,Neutral thought
886,அமைதி,Neutral,None,Quiet
887,வழக்கம்,Neutral,None,Routine
888,பின்னர் திட்டம்,Neutral,None,Deferred plan
889,மாற்றமில்லை,Neutral,None,No change
890,வேலை உணர்வு,Neutral,None,Work state
891,அலட்சியம் இல்லை,Neutral,None,No stress
892,சமநிலை,Neutral,None,Balance
893,ஓய்வு,Neutral,None,Rest
894,பேச்சு இல்லை,Neutral,None,Silence
895,சீரான முடிவு,Neutral,None,Smooth end
896,வேகம்,Neutral,None,Pace
897,சிரமமில்லை,Neutral,None,No difficulty
898,நிலை,Neutral,None,Status
899,அனுபவம்,Neutral,None,Experience
900,அமைதி முடிவு,Neutral,None,Calm closure
901,உள்ளம் கனமாய்,Sadness,Frustration,Heavy mood
902,நம்பிக்கை தளர்வு,Sadness,Despair,Hope weakening
903,எண்ண சிக்கல்,Sadness,Frustration,Thought trap
904,வலி வார்த்தை,Sadness,None,Hurtful speech
905,கனமான நாள்,Sadness,Despair,Heavy day
906,வெறுமை,Sadness,None,Emptiness
907,பகிராமை,Sadness,None,Unshared feeling
908,மௌனம்,Sadness,Despair,Silent pain
909,நினைவு தொல்லை,Sadness,Frustration,Memory bother
910,அமைதி தேடல்,Sadness,Hope,Seeking calm
911,புரியாமை,Sadness,None,Misunderstood
912,ஏமாற்றம்,Sadness,Despair,Disappointment
913,சக்தி குறைவு,Sadness,Frustration,Low energy
914,வெறுமை முடிவு,Sadness,None,Empty end
915,அடைப்பு,Sadness,None,Emotional block
916,இருள்,Sadness,Despair,Dark mood
917,சிரிப்பு இழப்பு,Sadness,None,Lost joy
918,தேடல்,Sadness,Hope,Searching hope
919,கண்ணீர்,Sadness,Despair,Grief
920,சோர்வு,Sadness,None,Fatigue
921,சிறு மகிழ்ச்சி,Joy,None,Small joy
922,நல்ல செய்தி,Joy,None,Good news
923,தெளிவு,Sadness,None,Clarity sadness
924,ஆதரவு,Sadness,None,Support felt
925,இனிமை,Joy,None,Pleasure
926,அமைதி,Joy,None,Peace
927,ஊக்கம்,Joy,None,Encouragement
928,நம்பிக்கை,Joy,Hope,Hope rise
929,மகிழ்ச்சி,Joy,None,Happiness
930,திருப்தி,Sadness,None,Content sadness
931,தீர்மானம்,Joy,Hope,Decision hope
932,சிரிப்பு,Joy,None,Smile
933,இலகு,Joy,None,Lightness
934,பழக்கம்,Sadness,None,Reflective habit
935,உதவி,Joy,None,Helping
936,மாற்றம்,Sadness,None,Transition
937,லேசு,Joy,None,Light mood
938,நினைவு,Joy,None,Memory joy
939,ஆச்சரியம்,Joy,None,Surprise
940,ஆசை,Joy,Hope,Wish
941,எரிச்சல்,Sadness,None,Irritation
942,புரிதல் குறைவு,Anger,Frustration,Misunderstanding
943,அநியாயம்,Anger,None,Injustice
944,காத்திருப்பு,Anger,Frustration,Waiting
945,அலட்சியம்,Sadness,None,Neglect
946,அமைதி தவறு,Anger,None,Silence misread
947,வாக்குறுதி,Sadness,None,Promise loss
948,முகமூடி,Sadness,None,Mask
949,பொறுமை,Anger,None,Patience
950,நியாயம்,Anger,Frustration,Justice issue
951,நிலைத்த கோபம்,Anger,None,Chronic anger
952,தவிர்ப்பு,Anger,Frustration,Avoidance
953,கூர்மை,Sadness,None,Sharpness
954,மதிப்பு,Sadness,None,Pride hurt
955,நாடகம்,Anger,Sarcasm,Pretence
956,சுமை,Sadness,None,Burden
957,சோதனை,Anger,Frustration,Test
958,முடிவு,Sadness,None,Ending
959,குவிப்பு,Anger,None,Accumulation
960,நெறி,Sadness,None,Moral pain
961,மாற்றம் அச்சம்,Fear,None,Change fear
962,அதிக சிந்தனை,Fear,Frustration,Overthinking
963,பாதுகாப்பு,Fear,None,Security worry
964,தவறு,Fear,None,Mistake fear
965,தயக்கம்,Fear,Hope,Hesitant hope
966,முடிவு,Fear,None,Decision fear
967,கலக்கம்,Fear,Frustration,Turmoil
968,பாதுகாப்பு எண்ணம்,Fear,None,Safety focus
969,நாளை,Fear,None,Tomorrow fear
970,செய்தி,Fear,None,Threat cue
971,பொறுப்பு,Fear,None,Responsibility fear
972,சந்தேகம்,Fear,None,Doubt
973,அம்பிக்யூட்டி,Fear,None,Ambiguity
974,திட்டம்,Fear,None,Planning fear
975,தேடல்,Fear,Hope,Seeking safety
976,காரணமில்லா,Fear,None,Free fear
977,மங்கல்,Fear,None,Blurred future
978,பயணம்,Fear,Hope,Hope journey
979,விருப்பு,Fear,Hope,Desire change
980,நீடிப்பு,Fear,Frustration,Persistence fear
981,சாதாரணம்,Neutral,None,Ordinary
982,வேலை,Neutral,None,Work
983,நேரம்,Neutral,None,Time
984,இல்லை,Neutral,None,Nonevent
985,சிந்தனை,Neutral,None,Thought
986,அமைதி,Neutral,None,Quiet
987,வழக்கம்,Neutral,None,Routine
988,பின்னர்,Neutral,None,Later
989,மாற்றமில்லை,Neutral,None,No change
990,வேலைநிலை,Neutral,None,Work state
991,அலட்சியம் இல்லை,Neutral,None,No stress
992,சமநிலை,Neutral,None,Balance
993,ஓய்வு,Neutral,None,Rest
994,பேச்சு இல்லை,Neutral,None,Silence
995,சீரான முடிவு,Neutral,None,Smooth end
996,வேகம்,Neutral,None,Pace
997,சிரமமில்லை,Neutral,None,No difficulty
998,நிலை,Neutral,None,Status
999,அனுபவம்,Neutral,None,Experience
1000,அமைதி முடிவு,Neutral,None,Calm closure
1001,உள்ளம் சோர்ந்து நிற்கும் தருணம் இன்று அதிகமாக உணரப்பட்டது,Sadness,Frustration,Emotional fatigue
1002,எண்ணங்கள் ஒன்றோடொன்று மோதிக் குழப்பத்தை உருவாக்கின,Sadness,Frustration,Cognitive conflict
1003,நம்பிய விஷயம் கையில் இருந்து வழுக்கியது போல,Sadness,Despair,Loss of certainty
1004,சுற்றம் மாறினாலும் உள்ளுக்குள் வெறுமை நிலைத்தது,Sadness,None,Inner emptiness
1005,சொல்ல முடியாத பாரம் இதயத்தில் தங்கியது,Sadness,Despair,Suppressed burden
1006,நாட்கள் அர்த்தமில்லாமல் ஓடிக்கொண்டிருக்கின்றன,Sadness,Despair,Existential weariness
1007,உணர்வுகளை மறைக்க பழகியதால் சோர்வு அதிகரித்தது,Sadness,None,Emotional suppression
1008,எதிர்பாராத மௌனம் வலியை இன்னும் ஆழமாக்கியது,Sadness,Despair,Silent rejection
1009,நினைவுகள் பின்னால் இழுத்து சக்தியை குறைத்தன,Sadness,Frustration,Past rumination
1010,இதயம் தேடும் அமைதி இன்னும் தூரமாக உள்ளது,Sadness,Despair,Unmet inner peace
1011,சிறிய சாதனை இன்று பெரிய நிம்மதி கொடுத்தது,Joy,None,Personal achievement
1012,நல்ல செய்தி கேட்டதும் உள்ளம் விரிந்தது,Joy,None,Positive stimulus
1013,சுற்றியவர்களின் ஆதரவு உள்ளத்தை உற்சாகப்படுத்தியது,Joy,Hope,Social encouragement
1014,சாதாரண தருணம் கூட இனிமையாக உணரப்பட்டது,Joy,None,Everyday joy
1015,எண்ணங்கள் தெளிவடைந்து செயல்கள் எளிதானது,Joy,None,Mental clarity
1016,இன்றைய நாள் எதிர்பாராத மகிழ்ச்சி தந்தது,Joy,None,Unexpected happiness
1017,இதயம் லேசாகி சுவாசம் சீரானது,Joy,None,Physiological calm
1018,நல்ல வார்த்தை முழு நாளையும் மாற்றியது,Joy,None,Verbal affirmation
1019,எதிர்காலம் குறித்து சிறு நம்பிக்கை பிறந்தது,Joy,Hope,Emerging optimism
1020,நாளின் முடிவில் திருப்தி உணர்ந்தேன்,Joy,None,Content closure
1021,சுற்றிய சூழல் பொறுமையை சோதிப்பதாக இருந்தது,Anger,Frustration,Environmental pressure
1022,சொன்ன கருத்து அலட்சியமாக புறக்கணிக்கப்பட்டது,Anger,Frustration,Ignored opinion
1023,நியாயமற்ற நடைமுறை எரிச்சலை ஏற்படுத்தியது,Anger,None,Perceived injustice
1024,மீண்டும் மீண்டும் விளக்கம் கேட்க வேண்டியது சலிப்பு,Anger,Frustration,Repetitive demand
1025,அமைதியை பலவீனமாக எடுத்துக்கொண்டனர்,Anger,None,Assertiveness misread
1026,வாக்குறுதி காக்கப்படாதது கோபத்தை தூண்டியது,Anger,Frustration,Broken commitment
1027,முகத்தில் சிரிப்பு உள்ளுக்குள் கடுப்பு,Sadness,None,Masked irritation
1028,சிலர் பொறுப்பை தவிர்ப்பது எரிச்சலாக இருந்தது,Anger,Frustration,Avoidance behavior
1029,பொறுமை எல்லையை நெருங்கியதாக உணர்ந்தேன்,Anger,None,Threshold nearing
1030,நியாயம் கேட்பதே தவறாக பார்க்கப்பட்டது,Anger,None,Justice suppression
1031,எதிர்கால சிந்தனை உள்ளத்தை பதற்றமடைய செய்தது,Fear,None,Future uncertainty
1032,எண்ணங்கள் கட்டுப்பாட்டை இழந்து ஓடின,Fear,Frustration,Overthinking anxiety
1033,நிலையற்ற சூழல் பாதுகாப்பு உணர்வை குலைத்தது,Fear,None,Environmental insecurity
1034,எதையும் தொடங்க தயக்கம் இன்று அதிகமாக இருந்தது,Fear,None,Initiation fear
1035,நம்பிக்கையுடன் கூட அச்சம் கலந்திருந்தது,Fear,Hope,Mixed anticipation
1036,எதிர்பாராத மாற்றம் இதயத்தை நடுங்க வைத்தது,Fear,None,Sudden change anxiety
1037,நாளை பற்றிய கேள்விகள் தூக்கத்தை கலைத்தன,Fear,Frustration,Anxious rumination
1038,சில பொறுப்புகள் பயத்தை அதிகரித்தன,Fear,None,Responsibility pressure
1039,மனநிலை பாதுகாப்பை தேடியது,Fear,Hope,Seeking reassurance
1040,இந்த நிலை மாறுமா என்ற சந்தேகம் இருந்தது,Fear,None,Change uncertainty
1041,இன்று வழக்கமான நாளாகவே முடிந்தது,Neutral,None,Ordinary routine
1042,வேலைகள் திட்டமிட்டபடி சீராக நடந்தன,Neutral,None,Task completion
1043,நேரம் மெதுவாக நகர்ந்தது போல தோன்றியது,Neutral,None,Time perception
1044,எதுவும் குறிப்பிடத்தக்கதாக நடக்கவில்லை,Neutral,None,No notable event
1045,சாதாரண சிந்தனைகளுடன் நாள் கழிந்தது,Neutral,None,Neutral cognition
1046,பேச்சு குறைந்த அமைதியான சூழல் இருந்தது,Neutral,None,Quiet environment
1047,வழக்கம்போல செயல்கள் தொடர்ந்தன,Neutral,None,Routine continuity
1048,நாளை பற்றிய திட்டம் பின்னர் பார்க்கலாம்,Neutral,None,Deferred planning
1049,சூழல் மாற்றமின்றி இருந்தது,Neutral,None,Stable context
1050,சாதாரண உணர்வுடன் வேலை முடிந்தது,Neutral,None,Work neutrality
1051,உள்ளம் மீண்டும் சோர்வை நினைவூட்டியது,Sadness,Frustration,Recurring low mood
1052,நம்பிக்கை சற்றே தளர்ந்ததாக தோன்றியது,Sadness,Despair,Weakening hope
1053,எண்ணங்கள் சிக்கி தீர்வு கிடைக்கவில்லை,Sadness,Frustration,Problem rumination
1054,சில வார்த்தைகள் ஆழமாக காயப்படுத்தின,Sadness,None,Emotional hurt
1055,நாட்கள் கனமாக நகர்வது போல இருந்தது,Sadness,Despair,Heavy time perception
1056,உள்ளுக்குள் வெறுமை அதிகரித்தது,Sadness,None,Inner void
1057,பகிர முடியாத உணர்வு சுமையாக இருந்தது,Sadness,None,Unshared emotion
1058,எதிர்பாராத மௌனம் துக்கத்தை அதிகரித்தது,Sadness,Despair,Silent pain
1059,நினைவுகள் மீண்டும் மீண்டும் தொந்தரவு செய்தன,Sadness,Frustration,Memory intrusion
1060,இதயம் அமைதி தேடி அலைந்தது,Sadness,Hope,Seeking calm
1061,சிறு முன்னேற்றம் உள்ளத்தை மகிழ்வித்தது,Joy,None,Incremental success
1062,நல்ல உரையாடல் மனநிலையை உயர்த்தியது,Joy,None,Positive interaction
1063,சுற்றியவர்களின் சிரிப்பு சக்தி தந்தது,Joy,None,Emotional contagion
1064,சாதாரண வேலை இன்று இனிமையாக இருந்தது,Joy,None,Task enjoyment
1065,எதிர்பாராத உதவி நம்பிக்கையை வளர்த்தது,Joy,Hope,Received support
1066,உள்ளம் லேசாகி நாளை ரசித்தேன்,Joy,None,Lighthearted state
1067,நல்ல நினைவு திடீரென சிரிப்பை கொண்டுவந்தது,Joy,None,Positive recall
1068,சிறு பாராட்டு ஊக்கமாக இருந்தது,Joy,None,Encouragement effect
1069,எதிர்காலம் குறித்து நேர்மறை எண்ணம் வந்தது,Joy,Hope,Optimistic outlook
1070,நாளின் முடிவில் மனநிறைவு ஏற்பட்டது,Joy,None,Satisfied closure
1071,சுற்றிய சூழல் எரிச்சலை தூண்டியது,Anger,Frustration,Contextual irritation
1072,சொல்லியும் புரியாத நிலை கோபம் தந்தது,Anger,Frustration,Misunderstanding anger
1073,நியாயம் புறக்கணிக்கப்பட்டதாக உணர்ந்தேன்,Anger,None,Injustice perception
1074,மீண்டும் காத்திருக்க வேண்டியது சலிப்பை ஏற்படுத்தியது,Anger,Frustration,Delay frustration
1075,அலட்சியமான அணுகுமுறை கடுப்பை உண்டாக்கியது,Anger,None,Disrespect reaction
1076,அமைதியை தவறாக எடுத்துக்கொண்டனர்,Anger,None,Silence misinterpretation
1077,வாக்குறுதி நிறைவேறாதது எரிச்சல்,Sadness,None,Disappointed trust
1078,நாடகமாய் நடந்துகொள்ளல் சலிப்பை ஏற்படுத்தியது,Anger,Sarcasm,Social pretense
1079,பொறுமை சோதனைக்கு உள்ளானது,Anger,None,Patience strain
1080,நியாயம் கேட்பது சிரமமாக இருந்தது,Anger,Frustration,Systemic resistance
1081,எதிர்பாராத செய்தி அச்சத்தை ஏற்படுத்தியது,Fear,None,Threat perception
1082,எண்ணங்கள் கட்டுப்பாட்டை இழந்தன,Fear,Frustration,Mental overwhelm
1083,நிலையற்ற சூழல் நிம்மதியை குலைத்தது,Fear,None,Security loss
1084,தவறு நடக்கும் என்ற பயம் இருந்தது,Fear,None,Error anxiety
1085,நம்பிக்கை இருந்தும் தயக்கம் இருந்தது,Fear,Hope,Conflicted courage
1086,எதிர்கால முடிவுகள் பயமூட்டின,Fear,None,Decision fear
1087,உள்ளுக்குள் கலக்கம் நீடித்தது,Fear,Frustration,Persistent anxiety
1088,பாதுகாப்பு குறித்த எண்ணங்கள் அதிகரித்தன,Fear,None,Safety concern
1089,நாளை பற்றி சிந்திக்க மனம் தயங்கியது,Fear,None,Future avoidance
1090,இந்த நிலை மாறுமா என்ற அச்சம்,Fear,None,Change anxiety
1091,இன்று சாதாரண நாளாகவே கடந்தது,Neutral,None,Plain daily update
1092,வேலைகள் வழக்கம்போல முடிந்தன,Neutral,None,Routine execution
1093,நேரம் மெதுவாக ஓடியது போல,Neutral,None,Time flow perception
1094,எதுவும் விசேஷமில்லை இன்று,Neutral,None,No highlight
1095,சாதாரண சிந்தனைகளுடன் நாள் சென்றது,Neutral,None,Neutral mindset
1096,அமைதியான சூழலில் நேரம் கழிந்தது,Neutral,None,Quiet routine
1097,வழக்கமான செயல்களில் மாற்றமில்லை,Neutral,None,Status quo
1098,நாளை பற்றிய முடிவு பின்னர்,Neutral,None,Deferred decision
1099,சூழல் நிலைத்திருந்தது,Neutral,None,Stable environment
1100,இன்றைய அனுபவம் சாதாரணமாக இருந்தது,Neutral,None,Neutral experience
1101,வாழ்க்கை திசை மாறியது என்ற பயம் வருது,Fear,None,Direction change anxiety
1102,உறவுகள் உடைஞ்சு போன வலி மறக்க முடியல,Sadness,Despair,Relational fracture pain
1103,சின்ன வெற்றி கூட பெரிய மகிழ்ச்சி தருது,Joy,Hope,Small victory celebration
1104,எல்லாரும் என்னை தவறா புரிஞ்சுக்கிறாங்க,Anger,Frustration,Chronic misunderstanding anger
1105,நடக்கப்போறதை யோசிச்சு தூக்கம் வரல,Fear,Frustration,Pre-event insomnia
1106,இன்னிக்கு வேலை சுமூதா முடிஞ்சது,Neutral,None,Smooth work completion
1107,உள்ளுக்குள்ள அழுகை அடங்கவே மாட்டேங்குது,Sadness,Despair,Internal crying persistence
1108,பாராட்டு வார்த்தை கேட்டதும் உள்ளம் மலர்ந்தது,Joy,None,Verbal appreciation impact
1109,நியாயம் கேட்டா கோபம் வரது தப்பா,Anger,Frustration,Justice seeking anger
1110,எதிர்பார்ப்பு தவறினா மனசு உடையுது,Sadness,Despair,Expectation shatter pain
1111,நாளைய சூழல் குழப்பமா தெரியுது,Fear,None,Environmental uncertainty fear
1112,வழக்கமான பயணம் இன்று முடிந்தது,Neutral,None,Regular commute note
1113,உணர்வுகள் சரியா சொல்ல வார்த்தை இல்ல,Sadness,None,Emotional inexpressibility
1114,நல்ல செய்தி கேட்டு உள்ளம் குளிர்ந்தது,Joy,None,Good news cooling effect
1115,மதிக்காம பேசுனா கோபம் அதிகமாகுது,Anger,None,Disrespect escalation anger
1116,திடீர் மாற்றம் மனதை குழப்புது,Fear,None,Sudden change confusion
1117,பணி நேரம் சாதாரணமாக கழிந்தது,Neutral,None,Work time neutrality
1118,உள்ளத்துள் சோகம் குவிந்து கிடக்குது,Sadness,Despair,Accumulated internal sorrow
1119,சிரிப்பு திரும்ப வந்ததில் ஆறுதல்,Joy,None,Laughter return comfort
1120,பொறுமை எல்லையை தாண்டிட்டேன் போல,Anger,None,Patience boundary crossed
1121,பயம் காரணம் புரியாம வருது,Fear,None,Inexplicable fear arrival
1122,நேரம் வழக்கம்போல் கழிந்தது,Neutral,None,Time routine passage
